pid 22845's new affinity list: 0-11,48-59
pid 22864's current affinity list: 0-11,48-59
pid 22864's new affinity list: 0-11,48-59
pid 23100's current affinity list: 0-11,48-59
pid 23100's new affinity list: 0-11,48-59
pid 23116's current affinity list: 0-11,48-59
pid 23116's new affinity list: 0-11,48-59
pid 23353's current affinity list: 0-11,48-59
pid 23353's new affinity list: 0-11,48-59
pid 23590's current affinity list: 0-11,48-59
pid 23590's new affinity list: 0-11,48-59
pid 23606's current affinity list: 0-11,48-59
pid 23606's new affinity list: 0-11,48-59
pid 23843's current affinity list: 0-11,48-59
pid 23843's new affinity list: 0-11,48-59
pid 23860's current affinity list: 0-11,48-59
pid 23860's new affinity list: 0-11,48-59
pid 24094's current affinity list: 0-11,48-59
pid 24094's new affinity list: 0-11,48-59
pid 24116's current affinity list: 0-11,48-59
pid 24116's new affinity list: 0-11,48-59
pid 24367's current affinity list: 0-11,48-59
pid 24367's new affinity list: 0-11,48-59
pid 24611's current affinity list: 0-11,48-59
pid 24611's new affinity list: 0-11,48-59
pid 24966's current affinity list: 0-11,48-59
pid 24966's new affinity list: 0-11,48-59
pid 25216's current affinity list: 0-11,48-59
pid 25216's new affinity list: 0-11,48-59
pid 25237's current affinity list: 0-11,48-59
pid 25237's new affinity list: 0-11,48-59
pid 25475's current affinity list: 0-11,48-59
pid 25475's new affinity list: 0-11,48-59
pid 25713's current affinity list: 0-11,48-59
pid 25713's new affinity list: 0-11,48-59
pid 25732's current affinity list: 0-11,48-59
pid 25732's new affinity list: 0-11,48-59
pid 29051's current affinity list: 0-11,48-59
pid 29051's new affinity list: 0-11,48-59
pid 29762's current affinity list: 0-11,48-59
pid 29762's new affinity list: 0-11,48-59
pid 30006's current affinity list: 0-11,48-59
pid 30006's new affinity list: 0-11,48-59
pid 30249's current affinity list: 0-11,48-59
pid 30249's new affinity list: 0-11,48-59
pid 41525's current affinity list: 0-11,48-59
pid 41525's new affinity list: 0-11,48-59
pid 41762's current affinity list: 0-11,48-59
pid 41762's new affinity list: 0-11,48-59
pid 41998's current affinity list: 0-11,48-59
pid 41998's new affinity list: 0-11,48-59
pid 42015's current affinity list: 0-11,48-59
pid 42015's new affinity list: 0-11,48-59
pid 42251's current affinity list: 0-11,48-59
pid 42251's new affinity list: 0-11,48-59
pid 42267's current affinity list: 0-11,48-59
pid 42267's new affinity list: 0-11,48-59
pid 42524's current affinity list: 0-11,48-59
pid 42524's new affinity list: 0-11,48-59
pid 42543's current affinity list: 0-11,48-59
pid 42543's new affinity list: 0-11,48-59
pid 42780's current affinity list: 0-11,48-59
pid 42780's new affinity list: 0-11,48-59
pid 42797's current affinity list: 0-11,48-59
pid 42797's new affinity list: 0-11,48-59
pid 43033's current affinity list: 0-11,48-59
pid 43033's new affinity list: 0-11,48-59
pid 43049's current affinity list: 0-11,48-59
pid 43049's new affinity list: 0-11,48-59
pid 43283's current affinity list: 0-11,48-59
pid 43283's new affinity list: 0-11,48-59
pid 43515's current affinity list: 0-11,48-59
pid 43515's new affinity list: 0-11,48-59
pid 43533's current affinity list: 0-11,48-59
pid 43533's new affinity list: 0-11,48-59
pid 43767's current affinity list: 0-11,48-59
pid 43767's new affinity list: 0-11,48-59
pid 43791's current affinity list: 0-11,48-59
pid 43791's new affinity list: 0-11,48-59
pid 44031's current affinity list: 0-11,48-59
pid 44031's new affinity list: 0-11,48-59
pid 44270's current affinity list: 0-11,48-59
pid 44270's new affinity list: 0-11,48-59
pid 44508's current affinity list: 0-11,48-59
pid 44508's new affinity list: 0-11,48-59
pid 44754's current affinity list: 0-11,48-59
pid 44754's new affinity list: 0-11,48-59
pid 44772's current affinity list: 0-11,48-59
pid 44772's new affinity list: 0-11,48-59
pid 45009's current affinity list: 0-11,48-59
pid 45009's new affinity list: 0-11,48-59
pid 45253's current affinity list: 0-11,48-59
pid 45253's new affinity list: 0-11,48-59
pid 45272's current affinity list: 0-11,48-59
pid 45272's new affinity list: 0-11,48-59
pid 45717's current affinity list: 0-11,48-59
pid 45717's new affinity list: 0-11,48-59
pid 46192's current affinity list: 0-11,48-59
pid 46192's new affinity list: 0-11,48-59
pid 67230's current affinity list: 0-11,48-59
pid 67230's new affinity list: 0-11,48-59
pid 67234's current affinity list: 0-11,48-59
pid 67234's new affinity list: 0-11,48-59
pid 67236's current affinity list: 0-11,48-59
pid 67236's new affinity list: 0-11,48-59
pid 67250's current affinity list: 0-11,48-59
pid 67250's new affinity list: 0-11,48-59
pid 67252's current affinity list: 0-11,48-59
pid 67252's new affinity list: 0-11,48-59
pid 67256's current affinity list: 0-11,48-59
pid 67256's new affinity list: 0-11,48-59
pid 67258's current affinity list: 0-11,48-59
pid 67258's new affinity list: 0-11,48-59
pid 67261's current affinity list: 0-11,48-59
pid 67261's new affinity list: 0-11,48-59
pid 67264's current affinity list: 0-11,48-59
pid 67264's new affinity list: 0-11,48-59
pid 67270's current affinity list: 0-11,48-59
pid 67270's new affinity list: 0-11,48-59
pid 67275's current affinity list: 0-11,48-59
pid 67275's new affinity list: 0-11,48-59
pid 67895's current affinity list: 0-11,48-59
pid 67895's new affinity list: 0-11,48-59
pid 68371's current affinity list: 0-11,48-59
